Exchange,Name,Type,Min Order Size,Min Grid Step
OKX,GMT-USDT-SWAP,USDT_FUTURES,1 GMT,0.00002 USDT
OKX,GODS-USDT-SWAP,USDT_FUTURES,1 GODS,0.00002 USDT
OKX,GRT-USDT-SWAP,USDT_FUTURES,10 GRT,0.00002 USDT
OKX,HBAR-USDT-SWAP,USDT_FUTURES,10 HBAR,0.00002 USDT
OKX,INJ-USDT-SWAP,USDT_FUTURES,0.1 INJ,0.002 USDT
OKX,IOTA-USDT-SWAP,USDT_FUTURES,10 IOTA,0.0002 USDT
OKX,JOE-USDT-SWAP,USDT_FUTURES,10 JOE,0.0002 USDT
OKX,JTO-USDT-SWAP,USDT_FUTURES,1 JTO,0.002 USDT
OKX,JUP-USDT-SWAP,USDT_FUTURES,10 JUP,0.0002 USDT
OKX,KSM-USDT-SWAP,USDT_FUTURES,0.1 KSM,0.02 USDT
OKX,LDO-USDT-SWAP,USDT_FUTURES,1 LDO,0.0002 USDT
OKX,LINK-USDT-SWAP,USDT_FUTURES,1 LINK,0.002 USDT
OKX,LPT-USDT-SWAP,USDT_FUTURES,0.1 LPT,0.002 USDT
OKX,MASK-USDT-SWAP,USDT_FUTURES,1 MASK,0.002 USDT
OKX,MEME-USDT-SWAP,USDT_FUTURES,100 MEME,0.000002 USDT
OKX,MEW-USDT-SWAP,USDT_FUTURES,1000 MEW,0.000002 USDT
OKX,MKR-USDT-SWAP,USDT_FUTURES,0.001 MKR,0.2 USDT
OKX,NEAR-USDT-SWAP,USDT_FUTURES,1 NEAR,0.002 USDT
OKX,NEO-USDT-SWAP,USDT_FUTURES,1 NEO,0.002 USDT
OKX,OM-USDT-SWAP,USDT_FUTURES,1 OM,0.0002 USDT
OKX,OP-USDT-SWAP,USDT_FUTURES,1 OP,0.0002 USDT
OKX,ORDI-USDT-SWAP,USDT_FUTURES,0.1 ORDI,0.002 USDT
OKX,PEOPLE-USDT-SWAP,USDT_FUTURES,100 PEOPLE,0.00002 USDT
OKX,PYTH-USDT-SWAP,USDT_FUTURES,10 PYTH,0.00002 USDT
OKX,RAY-USDT-SWAP,USDT_FUTURES,1 RAY,0.0002 USDT
OKX,RVN-USDT-SWAP,USDT_FUTURES,10 RVN,0.00002 USDT
OKX,SATS-USDT-SWAP,USDT_FUTURES,10000000 SATS,0 USDT
OKX,SHIB-USDT-SWAP,USDT_FUTURES,100000 SHIB,0.000000002 USDT
OKX,STORJ-USDT-SWAP,USDT_FUTURES,10 STORJ,0.0002 USDT
OKX,STRK-USDT-SWAP,USDT_FUTURES,1 STRK,0.0002 USDT
OKX,SUSHI-USDT-SWAP,USDT_FUTURES,1 SUSHI,0.0002 USDT
OKX,THETA-USDT-SWAP,USDT_FUTURES,10 THETA,0.0002 USDT
OKX,TIA-USDT-SWAP,USDT_FUTURES,1 TIA,0.002 USDT
OKX,TRB-USDT-SWAP,USDT_FUTURES,0.1 TRB,0.02 USDT
OKX,TRX-USDT-SWAP,USDT_FUTURES,10 TRX,0.00002 USDT
OKX,TURBO-USDT-SWAP,USDT_FUTURES,10000 TURBO,0.000002 USDT
OKX,UNI-USDT-SWAP,USDT_FUTURES,1 UNI,0.002 USDT
OKX,USTC-USDT-SWAP,USDT_FUTURES,100 USTC,0.00002 USDT
OKX,W-USDT-SWAP,USDT_FUTURES,1 W,0.00002 USDT
OKX,WIF-USDT-SWAP,USDT_FUTURES,1 WIF,0.0002 USDT
OKX,WLD-USDT-SWAP,USDT_FUTURES,1 WLD,0.0002 USDT
OKX,XCH-USDT-SWAP,USDT_FUTURES,0.01 XCH,0.002 USDT
OKX,XLM-USDT-SWAP,USDT_FUTURES,10 XLM,0.00002 USDT
OKX,XTZ-USDT-SWAP,USDT_FUTURES,1 XTZ,0.0002 USDT
OKX,YFI-USDT-SWAP,USDT_FUTURES,0.0001 YFI,2 USDT
BYBT,WIFUSDT,SPOT,BUY: 5 USDT / SELL: 2.3 WIF,0.0002 USDT
BYBT,BBUSDT,USDT_FUTURES,5 BB,0.0002 USDT
BYBT,NOTUSDT,SPOT,BUY: 10 USDT / SELL: 510 NOT,0.000002 USDT
OKX,NOT-USDT-SWAP,USDT_FUTURES,100 NOT,0.000002 USDT
BYBT,NOTUSDT,USDT_FUTURES,100 NOT,0.000002 USDT
BYBT,1000000MOGUSDT,USDT_FUTURES,2 1000000MOG,0.0002 USDT
BYBT,IOUSDT,SPOT,BUY: 10 USDT / SELL: 1.3 IO,0.002 USDT
BYBT,IOUSDT,USDT_FUTURES,0.3 IO,0.0002 USDT
BYBT,1000000BABYDOGEUSDT,USDT_FUTURES,500 1000000BABYDOGE,0.0000002 USDT
BYBT,ATHUSDT,SPOT,BUY: 30 USDT / SELL: 138.89 ATH,0.000002 USDT
OKX,ATH-USDT-SWAP,USDT_FUTURES,100 ATH,0.00002 USDT
BYBT,ATHUSDT,USDT_FUTURES,20 ATH,0.00002 USDT
OKX,ZK-USDT-SWAP,USDT_FUTURES,10 ZK,0.00002 USDT
OKX,ZRO-USDT-SWAP,USDT_FUTURES,1 ZRO,0.002 USDT
BYBT,ZROUSDT,USDT_FUTURES,0.3 ZRO,0.0002 USDT
BYBT,POPCATUSDT,SPOT,BUY: 7 USDT / SELL: 6 POPCAT,0.0002 USDT
OKX,OKB-USDT,SPOT,BUY: 15 USDT / SELL: 0.1 OKB,0.02 USDT
OKX,NOT-USDT,SPOT,BUY: 10 USDT / SELL: 300 NOT,0.000002 USDT
OKX,PEPE-USDT,SPOT,BUY: 20 USDT / SELL: 1000000 PEPE,0.000000002 USDT
OKX,WLD-USDT,SPOT,BUY: 10 USDT / SELL: 1 WLD,0.0002 USDT
OKX,ENS-USDT,SPOT,BUY: 10 USDT / SELL: 0.1 ENS,0.002 USDT
OKX,1INCH-USDT,SPOT,BUY: 15 USDT / SELL: 10 1INCH,0.0002 USDT
OKX,AAVE-USDT,SPOT,BUY: 15 USDT / SELL: 0.03 AAVE,0.02 USDT
OKX,ALGO-USDT,SPOT,BUY: 15 USDT / SELL: 20 ALGO,0.0002 USDT
OKX,APE-USDT,SPOT,BUY: 15 USDT / SELL: 8 APE,0.0002 USDT
OKX,APT-USDT,SPOT,BUY: 7 USDT / SELL: 0.5 APT,0.002 USDT
OKX,ARB-USDT,SPOT,BUY: 10 USDT / SELL: 4 ARB,0.0002 USDT
OKX,ATOM-USDT,SPOT,BUY: 10 USDT / SELL: 0.5 ATOM,0.002 USDT
OKX,AVAX-USDT,SPOT,BUY: 10 USDT / SELL: 0.2 AVAX,0.002 USDT
OKX,BCH-USDT,SPOT,BUY: 10 USDT / SELL: 0.01 BCH,0.2 USDT
OKX,BNB-USDT,SPOT,BUY: 15 USDT / SELL: 0.01 BNB,0.2 USDT
OKX,BONK-USDT,SPOT,BUY: 10 USDT / SELL: 100000 BONK,0.000000002 USDT
OKX,CELO-USDT,SPOT,BUY: 10 USDT / SELL: 10 CELO,0.0002 USDT
OKX,CORE-USDT,SPOT,BUY: 10 USDT / SELL: 3 CORE,0.0002 USDT
OKX,CRV-USDT,SPOT,BUY: 10 USDT / SELL: 10 CRV,0.0002 USDT
OKX,CVX-USDT,SPOT,BUY: 10 USDT / SELL: 1 CVX,0.002 USDT
OKX,DOT-USDT,SPOT,BUY: 7 USDT / SELL: 0.5 DOT,0.002 USDT
OKX,DYDX-USDT,SPOT,BUY: 10 USDT / SELL: 3 DYDX,0.0002 USDT
OKX,ETC-USDT,SPOT,BUY: 15 USDT / SELL: 0.5 ETC,0.02 USDT
OKX,FET-USDT,SPOT,BUY: 7 USDT / SELL: 2 FET,0.0002 USDT
OKX,FLOW-USDT,SPOT,BUY: 7 USDT / SELL: 4 FLOW,0.0002 USDT
OKX,GALA-USDT,SPOT,BUY: 15 USDT / SELL: 200 GALA,0.00002 USDT
OKX,HBAR-USDT,SPOT,BUY: 10 USDT / SELL: 50 HBAR,0.00002 USDT
OKX,INJ-USDT,SPOT,BUY: 15 USDT / SELL: 0.2 INJ,0.002 USDT
OKX,JTO-USDT,SPOT,BUY: 10 USDT / SELL: 1 JTO,0.002 USDT
OKX,JUP-USDT,SPOT,BUY: 20 USDT / SELL: 10 JUP,0.0002 USDT
OKX,LDO-USDT,SPOT,BUY: 15 USDT / SELL: 2 LDO,0.0002 USDT
OKX,LINK-USDT,SPOT,BUY: 10 USDT / SELL: 0.3 LINK,0.002 USDT
OKX,MANA-USDT,SPOT,BUY: 10 USDT / SELL: 10 MANA,0.0002 USDT
OKX,MASK-USDT,SPOT,BUY: 10 USDT / SELL: 1 MASK,0.002 USDT
OKX,NEAR-USDT,SPOT,BUY: 15 USDT / SELL: 1 NEAR,0.002 USDT
OKX,OP-USDT,SPOT,BUY: 10 USDT / SELL: 2 OP,0.0002 USDT
OKX,ORDI-USDT,SPOT,BUY: 15 USDT / SELL: 0.1 ORDI,0.002 USDT
OKX,PEOPLE-USDT,SPOT,BUY: 30 USDT / SELL: 100 PEOPLE,0.00002 USDT
OKX,RVN-USDT,SPOT,BUY: 10 USDT / SELL: 100 RVN,0.00002 USDT
OKX,SHIB-USDT,SPOT,BUY: 5 USDT / SELL: 300000 SHIB,0.000000002 USDT
OKX,STRK-USDT,SPOT,BUY: 5 USDT / SELL: 5 STRK,0.0002 USDT
OKX,TIA-USDT,SPOT,BUY: 5 USDT / SELL: 0.7 TIA,0.002 USDT
OKX,TRB-USDT,SPOT,BUY: 7 USDT / SELL: 0.01 TRB,0.02 USDT
OKX,TRX-USDT,SPOT,BUY: 7 USDT / SELL: 10 TRX,0.00002 USDT
OKX,UNI-USDT,SPOT,BUY: 20 USDT / SELL: 1 UNI,0.002 USDT
OKX,W-USDT,SPOT,BUY: 10 USDT / SELL: 10 W,0.00002 USDT
OKX,WIF-USDT,SPOT,BUY: 7 USDT / SELL: 2 WIF,0.0002 USDT
OKX,XAUT-USDT,SPOT,BUY: 15 USDT / SELL: 0.001 XAUT,0.2 USDT
OKX,XCH-USDT,SPOT,BUY: 10 USDT / SELL: 0.1 XCH,0.002 USDT
OKX,XLM-USDT,SPOT,BUY: 20 USDT / SELL: 30 XLM,0.00002 USDT
OKX,ZRO-USDT,SPOT,BUY: 15 USDT / SELL: 1 ZRO,0.002 USDT
BYBT,1000000PEIPEIUSDT,USDT_FUTURES,2 1000000PEIPEI,0.00002 USDT
BYBT,MOCAUSDT,USDT_FUTURES,3 MOCA,0.00002 USDT
OKX,RENDER-USDT,SPOT,BUY: 20 USDT / SELL: 1 RENDER,0.002 USDT
BYBT,UXLINKUSDT,SPOT,BUY: 7 USDT / SELL: 4 UXLINK,0.0002 USDT
OKX,UXLINK-USDT-SWAP,USDT_FUTURES,10 UXLINK,0.0002 USDT
OKX,ONDO-USDT,SPOT,BUY: 15 USDT / SELL: 5 ONDO,0.0002 USDT
OKX,ONDO-USDT-SWAP,USDT_FUTURES,10 ONDO,0.0002 USDT
OKX,ARKM-USDT,SPOT,BUY: 10 USDT / SELL: 1 ARKM,0.0002 USDT
OKX,BOME-USDT-SWAP,USDT_FUTURES,1000 BOME,0.000002 USDT
OKX,ATOM-USD-SWAP,COIN_FUTURES,10 USD,0.002 USD
OKX,AVAX-USD-SWAP,COIN_FUTURES,10 USD,0.002 USD
OKX,BCH-USD-SWAP,COIN_FUTURES,10 USD,0.2 USD
OKX,DOT-USD-SWAP,COIN_FUTURES,10 USD,0.002 USD
OKX,ETC-USD-SWAP,COIN_FUTURES,10 USD,0.02 USD
OKX,FIL-USD-SWAP,COIN_FUTURES,10 USD,0.002 USD
OKX,LINK-USD-SWAP,COIN_FUTURES,10 USD,0.002 USD
OKX,OP-USD-SWAP,COIN_FUTURES,10 USD,0.0002 USD
OKX,TRX-USD-SWAP,COIN_FUTURES,10 USD,0.00002 USD
OKX,UNI-USD-SWAP,COIN_FUTURES,10 USD,0.002 USD
OKX,XLM-USD-SWAP,COIN_FUTURES,10 USD,0.00002 USD
OKX,DOGS-USDT,SPOT,BUY: 20 USDT / SELL: 1000 DOGS,0.0000002 USDT
BYBT,DOGSUSDT,SPOT,BUY: 15 USDT / SELL: 8052 DOGS,0.0000002 USDT
OKX,DOGS-USDT-SWAP,USDT_FUTURES,1000 DOGS,0.0000002 USDT
BYBT,DOGSUSDT,USDT_FUTURES,1000 DOGS,0.0000002 USDT
OKX,POPCAT-USDT-SWAP,USDT_FUTURES,10 POPCAT,0.0002 USDT
BYBT,POLUSDT,USDT_FUTURES,1 POL,0.0002 USDT
OKX,NEIROETH-USDT-SWAP,USDT_FUTURES,100 NEIROETH,0.00002 USDT
OKX,CAT-USDT-SWAP,USDT_FUTURES,100000 CAT,0.000000002 USDT
OKX,TAO-USDT-SWAP,USDT_FUTURES,0.01 TAO,0.2 USDT
OKX,CATI-USDT,SPOT,BUY: 15 USDT / SELL: 3 CATI,0.00002 USDT
OKX,CATI-USDT-SWAP,USDT_FUTURES,1 CATI,0.00002 USDT
BYBT,CATIUSDT,USDT_FUTURES,2 CATI,0.00002 USDT
OKX,POL-USDT-SWAP,USDT_FUTURES,10 POL,0.0002 USDT
OKX,HMSTR-USDT,SPOT,BUY: 20 USDT / SELL: 1000 HMSTR,0.0000002 USDT
BYBT,HMSTRUSDT,SPOT,BUY: 20 USDT / SELL: 313.48 HMSTR,0.000002 USDT
OKX,HMSTR-USDT-SWAP,USDT_FUTURES,100 HMSTR,0.0000002 USDT
BYBT,HMSTRUSDT,USDT_FUTURES,100 HMSTR,0.0000002 USDT
BYBT,EIGENUSDT,USDT_FUTURES,1 EIGEN,0.0002 USDT
OKX,EIGEN-USDT-SWAP,USDT_FUTURES,1 EIGEN,0.0002 USDT
BYBT,MOODENGUSDT,USDT_FUTURES,3 MOODENG,0.00002 USDT
OKX,MOODENG-USDT-SWAP,USDT_FUTURES,10 MOODENG,0.00002 USDT
OKX,NEIRO-USDT-SWAP,USDT_FUTURES,1000 NEIRO,0.0000002 USDT
BYBT,GOATUSDT,USDT_FUTURES,3 GOAT,0.00002 USDT
OKX,GOAT-USDT-SWAP,USDT_FUTURES,10 GOAT,0.00002 USDT
BYBT,XUSDT,SPOT,BUY: 15 USDT / SELL: 100000 X,0.00000002 USDT
BYBT,1000XUSDT,USDT_FUTURES,30 1000X,0.00002 USDT
OKX,GRASS-USDT-SWAP,USDT_FUTURES,1 GRASS,0.0002 USDT
BYBT,SPXUSDT,USDT_FUTURES,2 SPX,0.0002 USDT
BYBT,VIRTUALUSDT,USDT_FUTURES,1 VIRTUAL,0.0002 USDT
BYBT,ACTUSDT,USDT_FUTURES,3 ACT,0.00002 USDT
BYBT,PNUTUSDT,USDT_FUTURES,2 PNUT,0.0002 USDT
OKX,PNUT-USDT-SWAP,USDT_FUTURES,10 PNUT,0.0002 USDT
BYBT,FWOGUSDT,USDT_FUTURES,10 FWOG,0.00002 USDT
BYBT,GOATUSDT,SPOT,BUY: 12 USDT / SELL: 18 GOAT,0.00002 USDT
OKX,ACT-USDT-SWAP,USDT_FUTURES,1 ACT,0.00002 USDT
OKX,MEMEFI-USDT,SPOT,BUY: 15 USDT / SELL: 1000 MEMEFI,0.0000002 USDT
BYBT,PEAQUSDT,USDT_FUTURES,3 PEAQ,0.0002 USDT
BYBT,MEMEFIUSDT,SPOT,BUY: 12 USDT / SELL: 1170 MEMEFI,0.0000002 USDT
BYBT,1000TOSHIUSDT,USDT_FUTURES,2 1000TOSHI,0.0002 USDT
OKX,MOVE-USDT,SPOT,BUY: 15 USDT / SELL: 20 MOVE,0.00002 USDT
OKX,MOVE-USDT-SWAP,USDT_FUTURES,10 MOVE,0.00002 USDT
BYBT,MOVEUSDT,USDT_FUTURES,2 MOVE,0.0002 USDT
OKX,VIRTUAL-USDT-SWAP,USDT_FUTURES,1 VIRTUAL,0.0002 USDT
BYBT,PENGUUSDT,USDT_FUTURES,20 PENGU,0.000002 USDT
OKX,PENGU-USDT-SWAP,USDT_FUTURES,100 PENGU,0.000002 USDT
BYBT,USUALUSDT,USDT_FUTURES,3 USUAL,0.00002 USDT
BYBT,HYPEUSDT,USDT_FUTURES,0.03 HYPE,0.002 USDT
BYBT,AIXBTUSDT,USDT_FUTURES,20 AIXBT,0.00002 USDT
OKX,AI16Z-USDT-SWAP,USDT_FUTURES,1 AI16Z,0.0002 USDT
BYBT,FARTCOINUSDT,USDT_FUTURES,2 FARTCOIN,0.0002 USDT
BYBT,GRIFFAINUSDT,USDT_FUTURES,3 GRIFFAIN,0.00002 USDT
OKX,FARTCOIN-USDT-SWAP,USDT_FUTURES,1 FARTCOIN,0.0002 USDT
BYBT,AI16ZUSDT,USDT_FUTURES,2 AI16Z,0.0002 USDT
BYBT,ZEREBROUSDT,USDT_FUTURES,3 ZEREBRO,0.00002 USDT
OKX,ALCH-USDT-SWAP,USDT_FUTURES,10 ALCH,0.00002 USDT
OKX,BIO-USDT-SWAP,USDT_FUTURES,1 BIO,0.00002 USDT
BYBT,SONICUSDT,USDT_FUTURES,3 SONIC,0.0002 USDT
OKX,SONIC-USDT-SWAP,USDT_FUTURES,1 SONIC,0.00002 USDT
BYBT,SUSDT,USDT_FUTURES,2 S,0.0002 USDT
BYBT,TRUMPUSDT,SPOT,BUY: 15 USDT / SELL: 0.5 TRUMP,0.002 USDT
BYBT,TRUMPUSDT,USDT_FUTURES,0.1 TRUMP,0.002 USDT
OKX,TRUMP-USDT,SPOT,BUY: 20 USDT / SELL: 1 TRUMP,0.002 USDT
OKX,TRUMP-USDT-SWAP,USDT_FUTURES,0.1 TRUMP,0.002 USDT
BYBT,MELANIAUSDT,USDT_FUTURES,0.2 MELANIA,0.0002 USDT
OKX,S-USDT-SWAP,USDT_FUTURES,10 S,0.0002 USDT
BYBT,PLUMEUSDT,SPOT,BUY: 12 USDT / SELL: 20 PLUME,0.00002 USDT
BYBT,VINEUSDT,USDT_FUTURES,2 VINE,0.00002 USDT
BYBT,PLUMEUSDT,USDT_FUTURES,3 PLUME,0.00002 USDT
OKX,VINE-USDT-SWAP,USDT_FUTURES,10 VINE,0.00002 USDT
BYBT,BERAUSDT,USDT_FUTURES,1 BERA,0.002 USDT
OKX,BERA-USDT-SWAP,USDT_FUTURES,0.1 BERA,0.002 USDT
OKX,LAYER-USDT-SWAP,USDT_FUTURES,1 LAYER,0.0002 USDT
OKX,IP-USDT-SWAP,USDT_FUTURES,1 IP,0.0002 USDT
OKX,KAITO-USDT,SPOT,BUY: 15 USDT / SELL: 5 KAITO,0.0002 USDT
OKX,PI-USDT-SWAP,USDT_FUTURES,1 PI,0.0002 USDT
BYBT,KAITOUSDT,USDT_FUTURES,2 KAITO,0.0002 USDT
OKX,KAITO-USDT-SWAP,USDT_FUTURES,1 KAITO,0.0002 USDT
OKX,HYPE-USDT-SWAP,USDT_FUTURES,0.1 HYPE,0.002 USDT
BYBT,NEARUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,AVAXUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,FILUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,LINKUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,OPUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,UNIUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,WIFUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,XLMUSD,COIN_FUTURES,1 USD,0.00002 USD
BYBT,AAVEUSD,COIN_FUTURES,1 USD,0.02 USD
BYBT,APTUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,ETCUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,MNTUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,ELXUSDT,USDT_FUTURES,2 ELX,0.0002 USDT
BYBT,MUBARAKUSDT,USDT_FUTURES,10 MUBARAK,0.00002 USDT
BYBT,PARTIUSDT,USDT_FUTURES,1 PARTI,0.0002 USDT
OKX,PARTI-USDT-SWAP,USDT_FUTURES,10 PARTI,0.0002 USDT
BYBT,GUNUSDT,USDT_FUTURES,5 GUN,0.00002 USDT
BYBT,XAUTUSDT,USDT_FUTURES,0.01 XAUT,0.02 USDT
OKX,BABY-USDT-SWAP,USDT_FUTURES,10 BABY,0.00002 USDT
OKX,PROMPT-USDT-SWAP,USDT_FUTURES,10 PROMPT,0.00002 USDT
BYBT,XAUTUSDT,SPOT,BUY: 15 USDT / SELL: 0.002 XAUT,0.2 USDT
OKX,WCT-USDT,SPOT,BUY: 15 USDT / SELL: 10 WCT,0.0002 USDT
BYBT,WCTUSDT,USDT_FUTURES,3 WCT,0.0002 USDT
OKX,WCT-USDT-SWAP,USDT_FUTURES,10 WCT,0.0002 USDT
BYBT,ZORAUSDT,USDT_FUTURES,20 ZORA,0.000002 USDT
BYBT,DOODUSDT,USDT_FUTURES,30 DOOD,0.000002 USDT
OKX,HUMA-USDT,SPOT,BUY: 10 USDT / SELL: 100 HUMA,0.00002 USDT
BYBT,HUMAUSDT,USDT_FUTURES,10 HUMA,0.00002 USDT
OKX,HUMA-USDT-SWAP,USDT_FUTURES,100 HUMA,0.00002 USDT
BYBT,AUSDT,USDT_FUTURES,1 A,0.0002 USDT
BYBT,AUSDT,SPOT,BUY: 5 USDT / SELL: 1.3 A,0.0002 USDT
OKX,SOPH-USDT-SWAP,USDT_FUTURES,100 SOPH,0.00002 USDT
BMEX,WIFUSDT,USDT_FUTURES,1 WIF,0.0002 USDT
BMEX,HYPEUSDT,USDT_FUTURES,0.1 HYPE,0.002 USDT
BMEX,POPCATUSDT,USDT_FUTURES,10 POPCAT,0.0002 USDT
BMEX,LINKUSDT,USDT_FUTURES,1 LINK,0.002 USDT
BMEX,ARBUSDT,USDT_FUTURES,0.1 ARB,0.0002 USDT
BMEX,PEPEUSDT,USDT_FUTURES,10000 PEPE,0.000000002 USDT
BMEX,AVAXUSDT,USDT_FUTURES,0.1 AVAX,0.002 USDT
