Exchange,Name,Type,Min Order Size,Min Grid Step
BYBT,HFTUSDT,SPOT,BUY: 20 USDT / SELL: 15 HFT,0.00002 USDT
BYBT,TWTUSDT,SPOT,BUY: 20 USDT / SELL: 2 TWT,0.0002 USDT
BYBT,BONKUSDT,SPOT,BUY: 40 USDT / SELL: 1003729.7 BONK,0.000000002 USDT
BYBT,BLURUSDT,SPOT,BUY: 20 USDT / SELL: 10 BLUR,0.00002 USDT
BYBT,ARBUSDT,SPOT,BUY: 20 USDT / SELL: 10 ARB,0.0002 USDT
BYBT,PEPEUSDT,SPOT,BUY: 20 USDT / SELL: 600000 PEPE,0.000000002 USDT
BYBT,10000LADYSUSDT,USDT_FUTURES,800 10000LADYS,0.0000002 USDT
BYBT,1000BONKUSDT,USDT_FUTURES,200 1000BONK,0.000002 USDT
BYBT,1000BTTUSDT,USDT_FUTURES,500 1000BTT,0.0000002 USDT
BYBT,1000FLOKIUSDT,USDT_FUTURES,3 1000FLOKI,0.00002 USDT
BYBT,1000LUNCUSDT,USDT_FUTURES,3 1000LUNC,0.00002 USDT
BYBT,1000PEPEUSDT,USDT_FUTURES,200 1000PEPE,0.000002 USDT
BYBT,1INCHUSDT,USDT_FUTURES,0.8 1INCH,0.0002 USDT
BYBT,AAVEUSDT,USDT_FUTURES,0.02 AAVE,0.02 USDT
BYBT,ACHUSDT,USDT_FUTURES,20 ACH,0.000002 USDT
BYBT,AGLDUSDT,USDT_FUTURES,0.5 AGLD,0.0002 USDT
BYBT,ALGOUSDT,USDT_FUTURES,2 ALGO,0.0002 USDT
BYBT,APEUSDT,USDT_FUTURES,0.7 APE,0.0002 USDT
BYBT,API3USDT,USDT_FUTURES,0.3 API3,0.0002 USDT
BYBT,APTUSDT,USDT_FUTURES,0.05 APT,0.002 USDT
BYBT,ARBUSDT,USDT_FUTURES,0.5 ARB,0.0002 USDT
BYBT,ARPAUSDT,USDT_FUTURES,20 ARPA,0.00002 USDT
BYBT,ARUSDT,USDT_FUTURES,0.2 AR,0.002 USDT
BYBT,ASTRUSDT,USDT_FUTURES,10 ASTR,0.00002 USDT
BYBT,ATOMUSDT,USDT_FUTURES,0.3 ATOM,0.002 USDT
BYBT,AVAXUSDT,USDT_FUTURES,0.3 AVAX,0.002 USDT
BYBT,AXSUSDT,USDT_FUTURES,0.2 AXS,0.002 USDT
BYBT,BAKEUSDT,USDT_FUTURES,2 BAKE,0.0002 USDT
BYBT,BCHUSDT,USDT_FUTURES,0.05 BCH,0.2 USDT
BYBT,BELUSDT,USDT_FUTURES,2 BEL,0.0002 USDT
BYBT,BLURUSDT,USDT_FUTURES,3 BLUR,0.00002 USDT
BYBT,BNBUSDT,USDT_FUTURES,0.05 BNB,0.2 USDT
BYBT,BOBAUSDT,USDT_FUTURES,0.5 BOBA,0.00002 USDT
BYBT,BSVUSDT,USDT_FUTURES,0.02 BSV,0.02 USDT
BYBT,CELOUSDT,USDT_FUTURES,0.3 CELO,0.0002 USDT
BYBT,CFXUSDT,USDT_FUTURES,3 CFX,0.00002 USDT
BYBT,CHZUSDT,USDT_FUTURES,5 CHZ,0.00002 USDT
BYBT,CKBUSDT,USDT_FUTURES,70 CKB,0.000002 USDT
BYBT,COMPUSDT,USDT_FUTURES,0.02 COMP,0.02 USDT
BYBT,COREUSDT,USDT_FUTURES,0.3 CORE,0.0002 USDT
BYBT,COTIUSDT,USDT_FUTURES,7 COTI,0.00002 USDT
BYBT,CRVUSDT,USDT_FUTURES,0.3 CRV,0.0002 USDT
BYBT,CTSIUSDT,USDT_FUTURES,3 CTSI,0.00002 USDT
BYBT,CVCUSDT,USDT_FUTURES,4 CVC,0.00002 USDT
BYBT,DASHUSDT,USDT_FUTURES,0.04 DASH,0.02 USDT
BYBT,DOTUSDT,USDT_FUTURES,0.3 DOT,0.0002 USDT
BYBT,DUSKUSDT,USDT_FUTURES,2 DUSK,0.00002 USDT
BYBT,DYDXUSDT,USDT_FUTURES,0.3 DYDX,0.0002 USDT
BYBT,EGLDUSDT,USDT_FUTURES,0.02 EGLD,0.02 USDT
BYBT,ENSUSDT,USDT_FUTURES,0.2 ENS,0.002 USDT
BYBT,ETCUSDT,USDT_FUTURES,0.2 ETC,0.002 USDT
BYBT,FILUSDT,USDT_FUTURES,0.2 FIL,0.002 USDT
BYBT,FLOWUSDT,USDT_FUTURES,0.2 FLOW,0.0002 USDT
BYBT,FXSUSDT,USDT_FUTURES,0.1 FXS,0.0002 USDT
BYBT,GALAUSDT,USDT_FUTURES,2 GALA,0.00002 USDT
BYBT,GMTUSDT,USDT_FUTURES,7 GMT,0.00002 USDT
BYBT,GRTUSDT,USDT_FUTURES,4 GRT,0.00002 USDT
BYBT,HBARUSDT,USDT_FUTURES,2 HBAR,0.00002 USDT
BYBT,HFTUSDT,USDT_FUTURES,2 HFT,0.00002 USDT
BYBT,HIGHUSDT,USDT_FUTURES,0.3 HIGH,0.0002 USDT
BYBT,HNTUSDT,USDT_FUTURES,0.1 HNT,0.002 USDT
BYBT,HOOKUSDT,USDT_FUTURES,0.6 HOOK,0.0002 USDT
BYBT,ICPUSDT,USDT_FUTURES,0.2 ICP,0.002 USDT
BYBT,IDUSDT,USDT_FUTURES,2 ID,0.0002 USDT
BYBT,ILVUSDT,USDT_FUTURES,0.03 ILV,0.02 USDT
BYBT,IMXUSDT,USDT_FUTURES,0.5 IMX,0.0002 USDT
BYBT,INJUSDT,USDT_FUTURES,0.2 INJ,0.002 USDT
BYBT,IOTAUSDT,USDT_FUTURES,2 IOTA,0.0002 USDT
BYBT,IOTXUSDT,USDT_FUTURES,20 IOTX,0.00002 USDT
BYBT,JASMYUSDT,USDT_FUTURES,50 JASMY,0.000002 USDT
BYBT,JSTUSDT,USDT_FUTURES,50 JST,0.00002 USDT
BYBT,KAVAUSDT,USDT_FUTURES,0.5 KAVA,0.0002 USDT
BYBT,KNCUSDT,USDT_FUTURES,0.5 KNC,0.0002 USDT
BYBT,KSMUSDT,USDT_FUTURES,0.03 KSM,0.02 USDT
BYBT,LDOUSDT,USDT_FUTURES,0.2 LDO,0.0002 USDT
BYBT,LINKUSDT,USDT_FUTURES,0.5 LINK,0.002 USDT
BYBT,LPTUSDT,USDT_FUTURES,0.5 LPT,0.002 USDT
BYBT,LRCUSDT,USDT_FUTURES,2 LRC,0.00002 USDT
BYBT,LUNA2USDT,USDT_FUTURES,0.3 LUNA2,0.0002 USDT
BYBT,MAGICUSDT,USDT_FUTURES,2 MAGIC,0.0002 USDT
BYBT,MANAUSDT,USDT_FUTURES,1 MANA,0.0002 USDT
BYBT,MASKUSDT,USDT_FUTURES,0.5 MASK,0.002 USDT
BYBT,MAVUSDT,USDT_FUTURES,3 MAV,0.00002 USDT
BYBT,MINAUSDT,USDT_FUTURES,0.2 MINA,0.0002 USDT
BYBT,MKRUSDT,USDT_FUTURES,0.002 MKR,0.2 USDT
BYBT,MTLUSDT,USDT_FUTURES,0.3 MTL,0.0002 USDT
BYBT,NEARUSDT,USDT_FUTURES,0.5 NEAR,0.002 USDT
BYBT,ONEUSDT,USDT_FUTURES,10 ONE,0.00002 USDT
BYBT,OPUSDT,USDT_FUTURES,0.5 OP,0.0002 USDT
BYBT,ORDIUSDT,USDT_FUTURES,0.01 ORDI,0.002 USDT
BYBT,PAXGUSDT,USDT_FUTURES,0.001 PAXG,0.02 USDT
BYBT,PENDLEUSDT,USDT_FUTURES,2 PENDLE,0.0002 USDT
BYBT,PEOPLEUSDT,USDT_FUTURES,40 PEOPLE,0.00002 USDT
BYBT,RADUSDT,USDT_FUTURES,0.3 RAD,0.0002 USDT
BYBT,RDNTUSDT,USDT_FUTURES,3 RDNT,0.00002 USDT
BYBT,REQUSDT,USDT_FUTURES,2 REQ,0.00002 USDT
BYBT,RLCUSDT,USDT_FUTURES,0.3 RLC,0.0002 USDT
BYBT,ROSEUSDT,USDT_FUTURES,7 ROSE,0.00002 USDT
BYBT,RUNEUSDT,USDT_FUTURES,0.5 RUNE,0.002 USDT
BYBT,RVNUSDT,USDT_FUTURES,10 RVN,0.00002 USDT
BYBT,SANDUSDT,USDT_FUTURES,2 SAND,0.0002 USDT
BYBT,SFPUSDT,USDT_FUTURES,1 SFP,0.0002 USDT
BYBT,SHIB1000USDT,USDT_FUTURES,50 SHIB1000,0.000002 USDT
BYBT,SNXUSDT,USDT_FUTURES,0.3 SNX,0.0002 USDT
BYBT,STXUSDT,USDT_FUTURES,0.3 STX,0.0002 USDT
BYBT,SUSHIUSDT,USDT_FUTURES,0.5 SUSHI,0.0002 USDT
BYBT,THETAUSDT,USDT_FUTURES,0.3 THETA,0.0002 USDT
BYBT,TRBUSDT,USDT_FUTURES,0.02 TRB,0.02 USDT
BYBT,TRXUSDT,USDT_FUTURES,3 TRX,0.00002 USDT
BYBT,TUSDT,USDT_FUTURES,20 T,0.00002 USDT
BYBT,TWTUSDT,USDT_FUTURES,0.3 TWT,0.0002 USDT
BYBT,UMAUSDT,USDT_FUTURES,0.4 UMA,0.002 USDT
BYBT,UNIUSDT,USDT_FUTURES,0.3 UNI,0.002 USDT
BYBT,VETUSDT,USDT_FUTURES,10 VET,0.00002 USDT
BYBT,WAVESUSDT,USDT_FUTURES,0.3 WAVES,0.0002 USDT
BYBT,WOOUSDT,USDT_FUTURES,0.3 WOO,0.00002 USDT
BYBT,XCNUSDT,USDT_FUTURES,100 XCN,0.000002 USDT
BYBT,XEMUSDT,USDT_FUTURES,10 XEM,0.000002 USDT
BYBT,XLMUSDT,USDT_FUTURES,4 XLM,0.00002 USDT
BYBT,XMRUSDT,USDT_FUTURES,0.02 XMR,0.02 USDT
BYBT,XTZUSDT,USDT_FUTURES,0.8 XTZ,0.0002 USDT
BYBT,XVGUSDT,USDT_FUTURES,300 XVG,0.000002 USDT
BYBT,YGGUSDT,USDT_FUTURES,0.2 YGG,0.0002 USDT
BYBT,ZECUSDT,USDT_FUTURES,0.02 ZEC,0.02 USDT
BYBT,ZENUSDT,USDT_FUTURES,0.2 ZEN,0.002 USDT
BYBT,ZRXUSDT,USDT_FUTURES,7 ZRX,0.0002 USDT
BYBT,MNTUSDT,SPOT,BUY: 10 USDT / SELL: 4 MNT,0.0002 USDT
BYBT,WLDUSDT,SPOT,BUY: 20 USDT / SELL: 2 WLD,0.0002 USDT
BYBT,WLDUSDT,USDT_FUTURES,0.3 WLD,0.0002 USDT
BYBT,ARKMUSDT,USDT_FUTURES,2 ARKM,0.0002 USDT
BYBT,AUCTIONUSDT,USDT_FUTURES,0.2 AUCTION,0.002 USDT
BYBT,ARKUSDT,USDT_FUTURES,2 ARK,0.0002 USDT
BYBT,KASUSDT,USDT_FUTURES,50 KAS,0.00002 USDT
BYBT,ATAUSDT,USDT_FUTURES,20 ATA,0.00002 USDT
BYBT,SEIUSDT,SPOT,BUY: 20 USDT / SELL: 8 SEI,0.0002 USDT
BYBT,CYBERUSDT,USDT_FUTURES,0.2 CYBER,0.002 USDT
BYBT,SEIUSDT,USDT_FUTURES,5 SEI,0.0002 USDT
BYBT,HIFIUSDT,USDT_FUTURES,2 HIFI,0.00002 USDT
BYBT,OGUSDT,USDT_FUTURES,0.2 OG,0.0002 USDT
BYBT,NMRUSDT,USDT_FUTURES,0.2 NMR,0.002 USDT
BYBT,PROMUSDT,USDT_FUTURES,0.2 PROM,0.002 USDT
BYBT,KASUSDT,SPOT,BUY: 20 USDT / SELL: 39.64 KAS,0.00002 USDT
BYBT,MNTUSDT,USDT_FUTURES,2 MNT,0.0002 USDT
BYBT,FETUSDT,SPOT,BUY: 20 USDT / SELL: 6 FET,0.0002 USDT
BYBT,BIGTIMEUSDT,USDT_FUTURES,2 BIGTIME,0.00002 USDT
BYBT,GASUSDT,USDT_FUTURES,0.2 GAS,0.002 USDT
